num,player,season,time,reb,ast,ste,blo,tov,ppg,win,lose,win_rate,
4696,Chris Weber,2004.000000,35.400000,9.100000,4.700000,1.400000,0.800000,2.700000,19.500000,39.000000,28.000000,0.582090,
4697,Chris Weber,2004.000000,33.400000,7.900000,3.100000,1.200000,0.900000,2.300000,15.600000,12.000000,9.000000,0.571429,
4698,Chris Weber,2004.000000,36.300000,9.700000,5.500000,1.500000,0.700000,2.900000,21.300000,27.000000,19.000000,0.586957,
4699,Chris Weber,2003.000000,36.100000,8.700000,4.600000,1.300000,0.900000,2.600000,18.700000,11.000000,12.000000,0.478261,
4700,Chris Weber,2002.000000,39.100000,10.500000,5.400000,1.600000,1.300000,3.200000,23.000000,49.000000,18.000000,0.731343,
4701,Chris Weber,2001.000000,38.400000,10.100000,4.800000,1.700000,1.400000,2.900000,24.500000,42.000000,12.000000,0.777778,
4702,Chris Weber,2000.000000,40.500000,11.100000,4.200000,1.300000,1.700000,2.800000,27.100000,48.000000,22.000000,0.685714,
4703,Chris Weber,1999.000000,38.400000,10.500000,4.600000,1.600000,1.700000,2.900000,24.500000,41.000000,34.000000,0.546667,
4704,Chris Weber,1998.000000,40.900000,13.000000,4.100000,1.400000,2.100000,3.500000,20.000000,22.000000,20.000000,0.523810,
4705,Chris Weber,1997.000000,39.600000,9.500000,3.800000,1.600000,1.700000,2.600000,21.900000,39.000000,32.000000,0.549296,
4706,Chris Weber,1996.000000,39.000000,10.300000,4.600000,1.700000,1.900000,3.200000,20.100000,40.000000,32.000000,0.555556,
4707,Chris Weber,1995.000000,37.200000,7.600000,5.000000,1.800000,0.600000,3.300000,23.700000,9.000000,6.000000,0.600000,
4708,Chris Weber,1994.000000,38.300000,9.600000,4.700000,1.500000,1.600000,3.100000,20.100000,11.000000,43.000000,0.203704,
4709,Chris Weber,1993.000000,32.100000,9.100000,3.600000,1.200000,2.200000,2.700000,17.500000,47.000000,29.000000,0.618421,
4710,Chris Wilp,1989.000000,7.300000,1.800000,0.300000,0.200000,0.300000,0.600000,2.400000,13.000000,14.000000,0.481481,
4711,Chris Wilp,1989.000000,10.100000,2.600000,0.300000,0.400000,0.600000,0.600000,3.600000,5.000000,9.000000,0.357143,
4712,Chris Wilp,1989.000000,4.300000,0.900000,0.400000,0.100000,0.000000,0.500000,1.200000,8.000000,5.000000,0.615385,
